#CHROM	POS	CONTEXT	Watson-METH	Watson-COVERAGE	Watson-QUAL	Crick-METH	Crick-COVERAGE	Crick-QUAL
chr1	68051610	CG	183	364	33	188	418	33
chr1	68051623	CG	165	350	33	225	464	33
chr1	68051632	CG	136	312	33	216	477	33
chr1	68051650	CG	107	260	33	262	482	33
chr1	68051660	CG	124	265	33	249	490	33
chr1	68051681	CG	164	306	33	276	497	33
chr1	68051687	CG	196	322	33	253	464	33
chr1	68051706	CG	169	311	33	246	447	33
chr1	68051713	CG	156	296	33	233	420	33
chr1	68051743	CG	176	295	33	226	378	33
chr1	68051750	CG	165	313	33	196	354	33
chr1	68051753	CG	211	334	33	215	352	33
chr1	68051771	CG	235	413	33	214	347	33
chr1	68051779	CG	241	423	33	216	331	33
chr1	68051786	CG	198	408	33	175	311	33
chr1	68051790	CG	206	408	33	164	296	33
chr1	68051855	CG	130	255	33	69	127	33
chr1	68051861	CG	144	220	33	87	120	34
chr1	143206231	CG	0	4	30	60	97	33
chr2	206202243	CG	58	130	33	13	55	34
chr2	206202279	CG	191	197	33	54	56	33
chr2	206202358	CG	288	307	33	104	114	33
chr2	206202403	CG	271	314	33	122	155	33
chr2	206202521	CG	273	281	33	267	282	33
chr2	206202605	CG	241	268	33	303	330	33
chr2	206202607	CG	246	275	33	307	332	33
chr2	206202615	CG	232	297	33	212	292	33
chr2	206202620	CG	279	304	33	302	324	33
chr2	206202647	CG	242	295	33	264	338	33
chr2	206202660	CG	245	287	33	300	344	33
chr2	206202669	CG	230	260	33	285	327	33
chr2	206202673	CG	230	246	33	308	339	33
chr2	206202682	CG	173	229	33	253	315	33
chr2	206202714	CG	157	240	33	216	326	33
chr2	206202717	CG	180	229	33	250	334	33
chr2	206202750	CG	270	310	33	330	384	33
chr2	206202754	CG	242	307	33	309	381	33
chr2	206202802	CG	241	259	33	356	409	33
chr2	206202809	CG	202	268	33	313	418	33
chr2	206202883	CG	177	199	33	416	446	33
chr2	206202885	CG	174	187	33	415	454	33
chr2	206202902	CG	178	191	33	404	429	33
chr2	206202953	CG	184	250	33	294	360	33
chr2	206203019	CG	182	210	33	297	326	33
chr2	206203038	CG	180	204	33	267	281	33
chr2	206203044	CG	185	205	33	247	254	33
chr2	206203081	CG	106	119	33	167	185	33
chr2	206203086	CG	101	112	33	173	178	33
chr2	206203196	CG	39	43	33	47	57	33
chr2	206203220	CG	51	52	33	51	56	33
chr2	206203252	CG	48	50	33	52	56	33
chr2	206203283	CG	88	90	33	80	83	33
chr2	206203285	CG	90	91	34	80	84	33
chr2	206203307	CG	104	104	33	74	83	33
chr2	206203314	CG	120	121	33	91	96	33
chr2	206203316	CG	128	129	33	91	102	33
chr2	206203367	CG	194	217	33	226	260	33
chr2	206203391	CG	258	272	33	317	330	33
chr2	206203404	CG	246	256	33	307	324	33
chr2	206203512	CG	314	336	33	283	299	33
chr2	206203530	CG	317	328	33	243	266	33
chr2	206203546	CG	316	335	33	277	293	33
chr2	206203567	CG	338	352	33	300	326	33
chr2	206203569	CG	335	339	33	304	319	33
chr2	206203591	CG	316	331	33	319	329	33
chr2	206203593	CG	301	311	33	312	321	33
chr2	206203617	CG	281	297	33	333	348	33
chr2	206203624	CG	281	300	33	336	355	33
chr2	206203634	CG	291	309	33	300	322	33
chr2	206203685	CG	310	322	33	297	312	33
chr2	206203696	CG	287	300	33	289	312	33
chr2	206203705	CG	304	315	33	285	300	33
chr2	206203718	CG	324	331	33	298	308	33
chr2	206203739	CG	309	321	33	268	286	33
chr2	206203743	CG	259	305	33	238	280	33
chr2	206203934	CG	217	233	33	113	114	33
chr2	206204074	CG	176	188	33	135	137	33
chr2	206204078	CG	153	159	34	124	125	33
chr2	206204090	CG	113	126	34	124	126	33
chr2	206204118	CG	93	102	33	86	89	33
chr2	206204123	CG	89	96	33	88	88	33
chr2	206204127	CG	93	100	34	88	89	33
chr2	206204134	CG	91	96	33	76	80	33
chr2	206204148	CG	94	98	34	65	67	33
chr2	206204179	CG	60	68	33	64	68	33
chr2	206204476	CG	64	104	33	89	134	33
chr2	206204542	CG	245	301	33	129	153	33
chr2	206204589	CG	260	287	33	187	197	33
chr2	206204597	CG	235	255	33	177	191	33
chr2	206204627	CG	209	234	33	162	175	33
chr2	206204651	CG	189	203	33	154	165	33
chr2	206204691	CG	163	178	33	139	144	33
chr2	206204714	CG	125	143	33	114	118	33
chr2	206204720	CG	92	123	33	94	110	33
chr2	206249859	CG	46	74	33	86	134	33
chr2	206249861	CG	41	71	33	79	150	33
chr2	206249935	CG	261	302	33	201	231	33
chr2	206249960	CG	186	260	33	190	251	33
chr2	206249968	CG	215	284	33	220	260	33
chr2	206249984	CG	193	299	33	197	270	33
chr2	206250006	CG	187	323	33	210	339	33
chr2	206250056	CG	116	210	33	65	189	33
chr2	206250064	CG	103	216	33	60	140	33
chr2	206250106	CG	47	110	33	24	109	33
chr2	206250119	CG	84	182	33	45	166	33
chr2	206250148	CG	153	340	33	87	232	33
chr2	206250155	CG	161	364	33	83	237	33
chr2	206250158	CG	167	386	33	81	244	33
chr2	206250200	CG	171	354	33	108	255	33
chr2	206250217	CG	136	297	33	119	245	33
chr2	206250233	CG	143	275	33	116	240	33
chr2	206250240	CG	130	262	33	126	251	33
chr2	206250283	CG	70	172	33	76	265	33
chr2	206250346	CG	94	195	33	143	286	33
chr2	206250360	CG	69	157	33	113	245	33
chr2	206250392	CG	25	36	34	44	140	33
chr2	206250400	CG	32	57	33	64	118	33
chr2	206250413	CG	46	69	33	78	173	33
chr2	206250431	CG	44	80	33	84	170	33
chr2	206250433	CG	42	78	33	75	171	33
chr2	206250439	CG	45	82	33	76	175	33
chr2	206250456	CG	41	90	33	65	150	33
chr2	206250473	CG	44	97	33	87	204	33
chr2	206250495	CG	52	105	33	106	225	33
chr2	206250497	CG	49	101	34	96	221	33
chr2	206250515	CG	43	93	34	93	194	33
chr2	206250531	CG	31	84	33	69	137	34
chr2	206250613	CG	104	181	33	69	106	34
chr2	206250617	CG	105	185	33	66	106	33
chr2	206250622	CG	95	185	33	67	111	33
chr2	206250650	CG	119	238	33	60	108	33
chr2	206250660	CG	136	266	33	69	108	33
chr2	206250662	CG	153	270	33	67	104	33
chr2	206250666	CG	147	268	33	63	107	33
chr2	206250694	CG	165	310	33	83	141	33
chr2	206250737	CG	157	299	33	122	183	33
chr2	206250741	CG	160	308	33	117	182	33
chr2	206250774	CG	187	363	33	113	169	33
chr2	206250783	CG	176	365	33	101	171	33
chr2	206250840	CG	78	127	33	56	88	33
chr2	206250848	CG	80	132	33	58	86	33
chr2	206250854	CG	79	130	33	53	79	33
chr2	206250875	CG	70	116	33	59	82	33
chr2	206250877	CG	70	114	33	59	87	33
chr2	206250883	CG	65	113	33	60	91	33
chr2	206250891	CG	57	97	33	61	89	33
chr2	206250900	CG	42	70	33	50	73	33
chr2	206250907	CG	43	73	33	45	72	33
chr2	206250917	CG	45	80	33	45	73	33
chr2	206250939	CG	49	89	33	42	76	33
chr2	206250961	CG	62	110	33	47	87	33
chr2	206250963	CG	71	105	33	53	87	33
chr2	206250975	CG	63	110	33	50	91	34
chr2	206251055	CG	79	154	33	75	134	33
chr2	206251059	CG	76	156	34	79	144	33
chr2	206251064	CG	78	159	33	77	156	33
chr2	206251092	CG	98	198	33	94	180	33
chr2	206251101	CG	124	233	33	99	198	33
chr2	206251104	CG	131	235	33	105	197	33
chr2	206251108	CG	135	253	33	108	206	33
chr2	206251117	CG	134	260	33	111	212	33
chr2	206251149	CG	179	284	33	147	251	33
chr2	206251166	CG	138	250	33	127	244	33
chr2	206251224	CG	143	266	33	126	243	33
chr2	206251229	CG	145	270	33	124	254	33
chr2	206251289	CG	112	235	33	106	210	33
chr2	206251346	CG	141	255	33	137	241	33
chr2	206251352	CG	144	275	33	124	249	33
chr2	206251362	CG	134	257	33	119	228	34
chr2	206251392	CG	131	250	33	110	218	33
chr2	206251503	CG	153	277	33	122	218	33
chr2	206251602	CG	177	292	33	93	155	33
chr2	206251677	CG	110	221	34	110	203	33
chr2	206251723	CG	158	252	33	111	200	33
chr2	206251796	CG	155	253	33	115	228	33
chr2	206251823	CG	182	281	33	114	209	33
chr2	206251870	CG	107	229	33	94	226	33
chr2	206251948	CG	139	217	33	137	228	33
chr2	206251965	CG	163	232	33	156	253	33
chr2	206252117	CG	125	203	33	151	233	33
chr2	206252128	CG	126	186	33	145	238	33
chr2	206252212	CG	73	122	33	111	183	33
chr2	206252308	CG	30	41	33	41	60	33
chr2	206252330	CG	25	39	33	48	76	33
chr2	206252338	CG	20	36	34	45	77	33
chr2	206252430	CG	63	109	33	70	131	33
chr2	206252470	CG	65	136	33	83	154	33
chr2	206252504	CG	97	185	33	111	184	33
chr2	206252511	CG	130	197	33	129	184	33
chr2	206252515	CG	152	200	33	127	179	33
chr2	206252548	CG	117	177	33	124	221	33
chr2	206252584	CG	122	237	33	138	248	33
chr2	206252611	CG	176	287	33	152	225	33
chr2	206252648	CG	141	294	33	107	229	33
chr2	206252841	CG	141	238	33	136	231	33
chr2	206252905	CG	152	250	33	136	222	33
chr2	206252911	CG	134	254	33	119	211	33
chr2	206252917	CG	160	267	33	135	211	33
chr2	206253037	CG	0	262	33	.	.	.
chr2	206253042	CG	129	259	33	96	170	33
chr2	206253064	CG	139	258	33	113	197	33
chr2	206253116	CG	132	258	33	94	189	33
chr2	206253123	CG	143	253	33	105	187	33
chr2	206253160	CG	150	270	33	136	248	33
chr2	206253188	CG	128	239	33	141	246	33
chr2	206253341	CG	125	201	33	135	236	33
chr2	206253365	CG	144	262	33	126	230	33
chr2	206253430	CG	133	275	33	127	277	33
chr2	206253480	CG	144	301	34	162	318	33
chr2	206253500	CG	172	328	33	187	348	33
chr2	206253504	CG	184	328	33	198	352	33
chr2	206253529	CG	188	322	33	201	383	33
chr2	206253532	CG	176	310	33	189	372	33
chr2	206253535	CG	189	310	33	196	376	33
chr2	206253547	CG	161	294	33	183	373	33
chr2	206253558	CG	138	252	33	192	359	33
chr2	206253564	CG	140	227	33	206	354	33
chr2	206253570	CG	135	248	33	192	346	33
chr2	206253588	CG	143	271	33	156	330	33
chr2	206253669	CG	147	278	33	190	372	33
chr2	206253687	CG	168	304	33	177	360	33
chr2	206253702	CG	187	304	33	186	361	33
chr2	206253738	CG	204	302	33	213	345	33
chr2	206253870	CG	70	217	33	110	319	33
chr2	206253886	CG	75	213	33	102	318	33
chr2	206253927	CG	8	216	33	5	303	33
chr2	206253987	CG	23	259	33	14	197	33
chr2	206254113	CG	138	253	33	52	97	34
chr2	206254404	CG	62	115	33	75	125	33
chr2	206254424	CG	58	138	33	62	121	34
chr2	206254435	CG	96	146	33	80	113	33
chr2	206254468	CG	83	178	33	89	140	33
chr2	206254478	CG	137	199	33	101	143	33
chr2	206254480	CG	145	203	33	107	146	33
chr2	206254484	CG	140	213	33	111	160	33
chr2	206254599	CG	71	174	32	137	257	33
chr2	206254684	CG	53	93	34	122	218	33
chr2	206254971	CG	76	112	33	107	187	33
chr2	206255128	CG	131	258	33	132	227	33
chr2	206255173	CG	111	267	33	100	236	33
chr2	206255649	CG	92	192	33	80	183	33
chr2	206255756	CG	47	63	34	116	150	33
chr2	206255758	CG	49	61	33	110	139	33
chr2	206255964	CG	45	67	33	59	78	33
chr2	206256028	CG	105	177	33	66	113	33
chr2	206256136	CG	225	305	33	115	170	33
chr2	206256140	CG	216	318	33	114	175	33
chr2	206256280	CG	153	247	33	104	169	33
chr2	206256304	CG	114	189	33	77	165	33
chr2	206256313	CG	127	201	33	82	151	33
chr2	206256326	CG	104	193	34	72	160	33
chr2	206256358	CG	112	217	33	50	90	33
chr2	206256366	CG	109	232	33	34	68	34
chr2	206256373	CG	92	221	33	30	65	33
chr2	206256490	CG	84	183	33	76	195	33
chr2	206256555	CG	72	197	33	90	197	33
chr2	206256660	CG	10	65	33	31	146	33
chr2	206256763	CG	115	206	33	181	281	33
chr2	206256905	CG	138	269	33	164	308	33
chr2	206256913	CG	134	288	33	167	321	33
chr2	206256969	CG	185	335	33	166	321	33
chr2	206256975	CG	133	327	33	113	314	33
chr2	206257011	CG	92	294	33	98	354	33
chr2	206257097	CG	43	320	33	41	337	34
chr2	206257411	CG	195	320	33	186	299	33
chr2	206257420	CG	203	316	33	196	300	33
chr2	206257447	CG	147	296	33	176	337	33
chr2	206257460	CG	178	312	33	193	323	33
chr2	206257506	CG	144	269	34	145	286	33
chr2	206257513	CG	142	272	33	130	288	33
chr2	206257578	CG	180	353	33	139	267	33
chr2	206257594	CG	201	345	33	167	287	33
chr2	206257601	CG	224	358	33	177	290	33
chr2	206257624	CG	213	390	33	148	282	33
chr2	206257635	CG	230	372	33	136	223	33
chr2	206257639	CG	255	376	33	134	211	33
chr2	206257699	CG	144	382	33	124	267	33
chr2	206257721	CG	98	291	33	93	209	33
chr2	206257754	CG	16	63	33	33	94	33
chr2	206257801	CG	52	101	33	79	136	33
chr2	206257835	CG	40	61	33	72	132	33
chr2	206257857	CG	50	76	33	97	156	33
chr2	206257890	CG	52	85	33	89	134	33
chr2	206257954	CG	25	40	33	27	96	33
chr2	206257987	CG	55	113	33	74	161	33
chr2	206258015	CG	93	179	33	91	182	33
chr2	206258038	CG	158	250	33	117	212	33
chr2	206258071	CG	170	341	33	128	223	33
chr2	206258081	CG	198	335	33	122	203	33
chr2	206258345	CG	110	153	33	166	210	33
chr2	206258449	CG	36	69	33	138	247	34
chr2	206258585	CG	137	158	33	162	224	33
chr2	206258596	CG	98	157	34	151	245	33
chr2	206258606	CG	123	163	33	163	243	33
chr2	206258630	CG	105	168	33	119	195	33
chr2	206258641	CG	109	165	33	130	193	33
chr2	206258686	CG	115	193	33	118	185	33
chr2	206258770	CG	79	139	33	70	102	33
chr2	206258774	CG	75	136	33	66	101	33
chr2	206258970	CG	144	256	33	169	287	33
chr2	206258999	CG	136	260	33	193	337	33
chr2	206259011	CG	179	267	33	229	338	33
chr2	206259256	CG	87	150	33	130	253	33
chr2	206259288	CG	95	159	33	198	314	33
chr2	206259373	CG	106	200	33	134	271	33
chr2	206259417	CG	95	157	33	109	193	33
chr2	206259529	CG	36	100	33	41	137	33
chr2	206259834	CG	55	280	33	43	282	33
chr2	206259868	CG	71	292	33	87	308	33
chr2	206259880	CG	112	329	33	122	328	33
chr2	206259897	CG	88	343	33	91	307	33
chr2	206259936	CG	77	333	33	52	242	33
chr2	206259971	CG	117	360	33	95	302	33
chr2	206259989	CG	122	369	33	105	286	33
chr2	206260148	CG	120	264	33	121	260	33
chr2	206260191	CG	69	231	33	91	268	33
chr2	206260295	CG	137	302	33	110	291	33
chr2	206260336	CG	97	271	33	95	276	33
chr2	206260544	CG	1	210	34	3	232	33
chr2	206260650	CG	91	212	33	55	122	33
chr2	206260741	CG	176	267	33	76	105	33
chr2	206260882	CG	129	258	34	108	188	33
chr2	206261029	CG	180	330	33	114	186	33
chr2	206261064	CG	157	367	33	101	244	33
chr2	206261069	CG	18	376	33	11	257	33
chr2	206261120	CG	6	362	33	5	226	33
chr2	206261209	CG	206	288	33	179	251	33
chr2	206261300	CG	132	293	33	91	187	33
chr2	206261382	CG	108	272	33	84	180	33
chr2	206261449	CG	161	349	33	65	124	33
chr2	206261513	CG	156	261	33	77	108	33
chr2	206261524	CG	191	245	34	84	101	33
chr2	206261526	CG	159	237	33	73	102	33
chr2	206261569	CG	164	183	33	104	123	33
chr2	206261573	CG	176	199	33	112	123	33
chr2	206261594	CG	153	202	33	104	124	33
chr2	206261625	CG	133	185	33	89	114	33
chr2	206261653	CG	125	163	33	149	184	33
chr2	206261665	CG	161	174	33	186	200	33
chr2	206261667	CG	159	170	33	176	199	33
chr2	206261745	CG	123	161	33	112	152	33
chr2	206261783	CG	96	170	33	71	139	33
chr2	206261887	CG	193	276	33	136	194	33
chr2	206262111	CG	252	288	33	125	137	34
chr2	206262257	CG	82	115	33	35	57	33
chr2	206262275	CG	81	121	33	34	70	33
chr2	206262299	CG	76	91	33	43	58	33
chr2	206262333	CG	54	91	33	35	60	33
chr2	206262357	CG	72	96	34	52	69	33
chr2	206262369	CG	56	92	33	56	82	33
chr2	206262500	CG	116	181	34	117	156	33
chr2	206262502	CG	105	179	33	85	166	33
chr2	206262640	CG	120	233	33	127	279	33
chr2	206262646	CG	113	234	33	126	285	33
chr2	206262834	CG	124	301	33	99	230	33
chr2	206262874	CG	155	260	33	174	274	33
chr2	206262985	CG	45	147	33	88	260	33
chr2	206262992	CG	121	171	33	168	259	33
chr2	206263015	CG	76	204	33	78	244	33
chr2	206263307	CG	139	289	33	69	143	33
chr2	206263400	CG	119	326	33	75	224	34
chr2	206263451	CG	105	294	33	126	289	33
chr2	206263453	CG	145	297	33	156	284	33
chr2	206263466	CG	133	328	33	133	295	33
chr2	206263485	CG	97	320	33	105	283	33
chr2	206263493	CG	178	315	33	157	275	33
chr2	206263518	CG	162	291	33	135	240	33
chr2	206263578	CG	114	303	33	77	221	33
chr2	206263743	CG	112	222	33	139	240	33
chr2	206263745	CG	115	222	33	130	227	33
chr2	206263748	CG	125	215	33	132	223	33
chr2	206263788	CG	97	159	33	140	233	33
chr2	206263808	CG	80	185	33	123	234	33
chr2	206263879	CG	92	149	33	88	143	33
chr2	206263882	CG	82	148	33	84	133	33
chr2	206263887	CG	76	126	33	67	110	34
chr2	206263973	CG	71	125	33	68	93	33
chr2	206263975	CG	72	127	33	68	92	33
chr2	206264019	CG	60	151	33	54	114	33
chr2	206264112	CG	122	262	33	130	249	33
chr2	206264166	CG	73	275	33	81	273	33
chr2	206264205	CG	169	304	33	167	252	33
chr2	206264278	CG	173	379	33	92	196	33
chr2	206264284	CG	175	372	33	87	178	33
chr2	206264327	CG	175	371	33	92	190	33
chr2	206264344	CG	201	453	33	106	205	33
chr2	206264352	CG	223	449	33	105	207	33
chr2	206264384	CG	211	463	33	110	197	33
chr2	206264391	CG	210	446	33	117	192	33
chr2	206264398	CG	172	429	33	97	210	33
chr2	206264434	CG	139	341	33	111	253	33
chr2	206264447	CG	182	350	33	164	297	33
chr2	206264456	CG	146	311	33	156	297	33
chr2	206264458	CG	142	304	33	158	298	33
chr2	206264504	CG	79	234	33	79	242	33
chr2	206264536	CG	118	254	33	96	205	33
chr2	206264598	CG	151	235	33	123	209	33
chr2	206264633	CG	117	204	33	105	192	33
chr2	206264648	CG	119	198	33	110	201	33
chr2	206264668	CG	133	206	33	128	197	33
chr2	206264787	CG	108	190	33	154	253	33
chr2	206264835	CG	125	224	33	194	326	33
chr2	206264845	CG	135	211	33	211	303	33
chr2	206264911	CG	118	223	33	98	181	33
chr2	206265005	CG	105	229	33	73	154	34
chr2	206265044	CG	165	243	33	103	142	33
chr2	206265138	CG	108	215	33	72	139	33
chr2	206265173	CG	133	210	33	84	145	34
chr2	206265210	CG	124	209	33	113	197	33
chr2	206265218	CG	97	220	33	97	201	33
chr2	206265244	CG	110	228	33	99	196	33
chr2	206265326	CG	134	210	33	153	206	33
chr2	206265333	CG	113	212	33	124	203	33
chr2	206265497	CG	198	254	33	100	133	33
chr2	206265553	CG	72	139	34	40	82	34
chr2	206265613	CG	145	190	33	110	165	33
chr2	206265696	CG	103	135	34	130	179	33
chr2	206265762	CG	103	157	33	178	258	33
chr2	206265790	CG	120	180	33	142	232	33
chr2	206265898	CG	134	197	33	148	193	33
chr2	206265928	CG	113	190	33	87	126	34
chr2	206266278	CG	91	205	33	86	172	33
chr2	206266354	CG	162	269	33	125	219	33
chr2	206266641	CG	185	371	33	137	258	33
chr2	206266713	CG	148	251	33	166	260	33
chr2	206266717	CG	156	251	33	160	252	33
chr2	206266732	CG	152	266	33	151	255	33
chr2	206266747	CG	132	245	33	143	264	33
chr2	206266861	CG	158	296	33	182	336	33
chr2	206266902	CG	147	294	33	157	265	33
chr2	206266975	CG	105	217	33	132	241	33
chr2	206267141	CG	60	85	33	51	87	33
chr2	206267203	CG	28	68	34	58	120	33
chr2	206267236	CG	46	90	33	61	125	33
chr2	206267256	CG	58	106	33	87	153	33
chr2	206267258	CG	63	109	33	83	160	33
chr2	206267263	CG	80	124	33	81	148	33
chr2	206267271	CG	75	126	33	90	167	33
chr2	206267298	CG	75	122	33	96	168	33
chr2	206267343	CG	73	115	33	89	169	33
chr2	206267354	CG	80	125	34	103	166	33
chr2	206267359	CG	70	122	33	96	182	33
chr2	206267403	CG	76	152	34	126	226	33
chr2	206267616	CG	119	281	33	42	83	33
chr2	206267661	CG	164	307	33	52	80	33
chr2	206267747	CG	139	369	33	72	152	33
chr2	206267768	CG	175	367	33	102	174	33
chr2	206267838	CG	138	230	33	146	260	33
